	evidence_level	document_idx	title	sentences
588	in-vitro	66	Antifungal activity and inhibition of fumonisin production by Rosmarinus officinalis L. essential oil in Fusarium verticillioides (Sacc.) Nirenberg.	['The chemical composition of Rosmarinus officinalis L. essential oil (REO) was analysed by gas chromatography-mass spectrometry and nuclear magnetic resonance spectroscopy.', 'The main compounds of the REO were 1.8 cineole (52.2%), camphor (15.2%) and alpha-pinene (12.4%).', 'The mycelial growth of Fusarium verticillioides (Sacc.)', 'Nirenberg was reduced significantly by 150 microg/mL of REO.', 'Significant microscopic morphological changes were visualised, such as the rupture of the cell wall and the leakage of cytoplasm at 300 microg/mL of REO.', 'At lower concentrations of REO, the effects on the production of ergosterol and the biomass of mycelium varied, as did the effects on the production of fumonisins, but at ≥300 microg/mL of REO, these processes were significantly inhibited, showing the effectiveness of the REO as an antifungal agent.', 'The results suggested that the REO acts against F. verticillioides by disrupting the cell wall and causing the loss of cellular components, subsequently inhi']
16142	animal in-vivo	1927	Thymoquinone: Novel gastroprotective mechanisms.	['Ample of evidence proved the gastroprotective effect of thymoquinone (TQ), the main constituent of Nigella sativa oil; however, the full mechanistic cassette on the gastric ulcer etiopathogenesis is not fully elucidated.', 'The aim of the present work is to unveil some of the possible mechanisms.', 'Animals were injected with vehicle, TQ (10 &amp; 20mg/kg), omeprazole (10 &amp; 20mg/kg) or their combination (10mg/kg).', 'Thirty minutes later, pyloric ligation was carried out and followed consequently with ischemia for another 30min, abided by reperfusion for 120min.', 'The ischemia/reperfusion insult increased the gastric acid secretion, acid output, and pepsin, as well as the gastric mucosal content/activity of lipid peroxide, proton pump and myeloperoxidase, along with ulcer index.', 'However, content/activity of gastric mucin, reduced glutathione, total nitric oxide, and superoxide dismutase were decreased.', 'TQ, especially the high dose level, corrected the altered parameters in a comparable manner to that of the reference drug used, omeprazole.', 'In addition, when the low doses were combined they add to each other to reach the effect of the high dose of either drug.', 'These results showed that apart from its known antioxidant properties, TQ has novel gastroprotective mechanisms via inhibiting proton pump, acid secretion and neutrophil infiltration, while enha']
19768	Bioanalysis	2387	Simultaneous determination of aminoglycoside antibiotics in milk by liquid chromatography with tandem mass spectrometry.	['A multiresidue method was developed for determination of nine aminoglycoside antibiotics (streptomycin, dihydrostreptomycin, spectinomycin, neomycin, kanamycin, gentamicin, destomycin A, apramycin, and tobramycin) in milk by LC/MS/MS.', 'The drugs were extracted with 0.01 mol/L potassium dihydrogen phosphate containing 2% trichloroacetic acid, and the extracted solution was cleaned on cation-exchange cartridge columns (Oasis WCX and Oasis MCX).', 'LC separation was performed on a TSK-gel VMpak25 column (50 mmx2.0 mm i.d.)', 'using gradient elution with 0.1% formic acid and acetonitrile containing 0.1% formic acid as the mobile phase.', 'Recoveries of the drugs spiked at 0.01 or 0.1 microg/g in milk ranged from 66.1 to 110.8%, with a coefficient of variation of less than 17.1%.', 'Limits of quantification of the drugs in milk were 0.001 approximately 0.01 microg/g.', 'This method was used for analysis of milk from a lactating cow treated for clinical mastitis with two intramammary infusions of kanamycin (KM).', 'Milk samples were analyzed during the withdrawal times at 12-hour intervals.', 'KM concentrations were lower than the Japanese provisional MRLs (0.4 microg/g) at 60 hours after infusion, and subsequently fell to 0.01 micro']
10883	others	1285	The challenging SO2-mediated chemical build-up of protein aggregates in wines.	['Despite the extensive research performed during the last decades, the multifactorial mechanism responsible for white wine protein haze formation is not fully characterized.', 'A model is proposed, which is essentially based on two postulates: the experimental identification of sulfur dioxide as the non-proteinaceous factor, and the inference from reliable data available in the literature of the dynamic chemistry played by wine protein sulfhydryl groups.', 'Unlike other reducing agents, addition of SO2 to must/wine upon heating cleaves intraprotein disulfide bonds, hinders thiol-disulfide exchange during protein interactions, and leads to formation of novel interprotein disulfide bonds.', 'These bonds are ultimately responsible for wine protein aggregation following a nucleation-growth kinetic model, as shown by Dynamic Light Scattering experiments.', 'The model was tested in wine model solution (using total and fractionated wine proteins) and validated under real wine conditions.', 'The results achieved may open the way to develop techniques th']
8097	others	953	Cognitive impairment in multiple sclerosis.	['Cognitive impairment (CI) is a serious complication of multiple sclerosis (MS), and the domains affected are well established, but new affected domains such as theory of mind are still being identified.', 'The evidence that disease-modifying therapies (DMTs) improve and prevent the development of CI in MS is not solid.', 'Recent studies on the prevalence of CI in MS among people treated with DMT, although not as solid as studies completed prior to DMT introduction, suggest that CI remains a problem even among people on DMTs and that CI occurs frequently even at the very earliest stages of MS. Functional MRI studies and studies using diffusion tractography show that the impact of lesions on cognition depends on the particular cortical networks affected and their plasticity.', 'Cognitive rehabilitation and L-amphetamine appear promising symptomatic treatments for CI in MS, while, cholinesterase inhibitors and memantine have failed, and data on Ginkgo and exercise are limited.', 'We need more work to understand better CI in MS and develop treatments for this serious complication of']
9433	animal in-vivo	1109	Effect of Physalis peruviana L. on cadmium-induced testicular toxicity in rats.	['Cadmium (Cd) stimulates the production of reactive oxygen species and causes tissue damage.', 'We investigated here the protective effect of Physalis peruviana L. (family Solanaceae) against cadmium-induced testes toxicity in rats.', 'Twenty-eight Wistar albino rats were used.', 'They were divided into four groups (n=7).', 'Group 1 was used as control.', 'Group 2 was intraperitoneally injected with 6.5 mg/kg body weight (bwt) of cadmium chloride for 5 days.', 'Group 3 was orally treated with 200 mg/kg bwt of methanolic extract of physalis (MEPh).', 'Group 4 was pretreated with MEPh before cadmium for 5 days.', 'Changes in body and testes weights were determined.', 'Oxidative stress markers, antioxidant enzymes, and testosterone level were measured.', 'Histopathological changes of testes were examined, and the immunohistochemical staining for the proapoptotic (caspase-3) protein was performed.', 'The injection of cadmium caused a significant decrease in body weight, while a significant increase in testes weight and testes weight index was observed.', 'Pretreatment with MEPh was associated with significant reduction in the toxic effects of Cd as shown by reduced testicular levels of malondialdehyde, nitric oxide, and caspase-3 expression and increased glutathione content, and the activities of superoxide dismutase, catalase, glutathione reductase, glutathione peroxidase, and testosterone were also increased.', 'Testicular histopathology showed that Cd produced an extensive germ cell apoptosis, and the pretreatment of MEPh in Cd-treated rats significantly reduced Cd-induced testicular damage.', 'On the basis of the above results, it can be hypothesized that P. peruviana L. has a protective effect against cadmium-induced testicular oxidative stress and apoptosis in the']
6630	in-vitro	786	Inhibition of tumor suppressor p53 preserves glycation-serum induced pancreatic beta-cell demise.	['Tumor suppressor p53 is a transcriptional factor that determines cell fate in response to multiple stressors, such as oxidative stress and endoplasmic reticulum stress, in the majority of cells.', 'However, its role in pancreatic beta cells is not well documented.', 'Our previous research has revealed that glycation-serum (GS) induced pancreatic beta-cell demise through the AGEs-RAGE pathway.', 'In the present study, we investigated the role of p53 in GS-related beta-cell demise.', 'Using pancreatic islets beta-cell line INS-1 cells, we found that with GS treatment, the transcriptional activity of p53 was significantly evoked due to the increased amount of nuclear p53 protein.', 'Resveratrol (RSV) was capable of further enhancing this transcriptional ability and consequently increased the population of dead beta cells under GS exposure.', 'In contrast, inhibiting this transcriptional activity via p53 interference greatly protected beta cells from the damage provoked by GS, as well as damage strengthened by RSV.', 'However, the pharmacological activation of PPARgamma with troglitazone (TRO) only suppressed GS-induced, not RSV-induced, p53 activity.', 'Moreover, the activation of PPARgamma greatly preserved beta cells from GS-induced death.', 'This protective effect recurred due to improved mitochondrial function with Bcl2 overexpression.', 'Further, p53 activation could induce cellular apoptosis in primary rat islets.', 'Our findings explore the broader role of p53 in regulating pancreatic beta-cell demise in the presence of GS and may provide a therapeutic target for the treatment and prevention of diabe']
14146	animal in-vivo	1686	Methionine deficiency does not increase polyamine turnover through depletion of hepatic S-adenosylmethionine in juvenile Atlantic salmon.	['During the last few decades, plant protein ingredients such as soya proteins have replaced fishmeal in the diets of aquacultured species.', 'This may affect the requirement and metabolism of methionine as soya contains less methionine compared with fishmeal.', 'To assess whether methionine limitation affects decarboxylated S-adenosylmethionine availability and polyamine status, in the present study, juvenile Atlantic salmon were fed a methionine-deficient plant protein-based diet or the same diet supplemented with dl-methionine for 8 weeks.', 'The test diets were compared with a fishmeal-based control diet to assess their effects on the growth performance of fish.', 'Methionine limitation reduced growth and protein accretion, but when fish were fed the dl-methionine-supplemented diet their growth and protein accretion equalled those of fish fed the fishmeal-based control diet.', 'Methionine limitation reduced free methionine concentrations in the plasma and muscle, while those in the liver were not affected.', 'S-adenosylmethionine (SAM) concentrations were higher in the liver of fish fed the methionine-deficient diet, while S-adenosylhomocysteine concentrations were not affected.', 'Putrescine concentrations were higher and spermine concentrations were lower in the liver of fish fed the methionine-deficient diet, while the gene expression of SAM decarboxylase (SAMdc) and the rate-limiting enzyme of polyamine synthesis ornithine decarboxylase (ODC) was not affected.', 'Polyamine turnover, as assessed by spermine/spermidine acetyltransferase (SSAT) abundance, activity and gene expression, was not affected by treatment.', 'However, the gene expression of the cytokine TNF-alpha increased in fish fed the methionine-deficient diet, indicative of stressful conditions in the liver.', 'Even though taurine concentrations in the liver were not affected by treatment, methionine and taurine concentrations in muscle decreased due to methionine deficiency.', 'Concomitantly, liver phospholipid and cholesterol concentrations were reduced, while NEFA concentrations were elevated.', 'In conclusion, methionine deficiency did not increase polyamine turnover through depletion of hepatic SAM, as assessed by SSAT activity and abunda']
9590	in-vitro	1129	Epidermal-dermal interactions regulate gelatinase activity in Apligraf, a tissue-engineered human skin equivalent.	['Matrix metalloproteinases (MMPs) and tissue inhibitors of MMPs (TIMPs) have important functions during skin development, repair and maintenance.', 'MMP-2 and MMP-9 (gelatinase A and gelatinase B) are involved in regulating keratinocyte migration.To analyse whether Apligraf, a bilayered tissue-engineered human skin equivalent (HSE), produces gelatinases and TIMPs and whether or not epidermal-dermal interactions regulate MMP activity.The tissue distribution of MMP-2, MMP-9, TIMP-1, TIMP-2 and fibronectin was analysed by immunohistochemistry.', 'Secreted MMP activity was quantified by a fluorimetric assay and gelatin zymography was used to monitor gelatinases in tissue culture supernatants.Apligraf expressed MMP-2 and MMP-9 and contained immunohistochemically detectable amounts of TIMP-1 and TIMP-2.', 'The gelatinases were predominantly produced in the epidermis, whereas immunostaining of TIMP-1 and TIMP-2 was largely confined to the dermal component of the HSE.', 'Fibronectin was expressed only in the dermis.', 'Gelatin zymography demonstrated that intact Apligraf produced both MMP-2 and MMP-9, the latter predominantly in its latent form.', 'Separation of the dermis from the epidermis resulted in an enhanced production and activation of MMP-9 by the epidermal layer, and secretion of latent and active MMP-2 by the dermal layer.', 'Moreover, the incubation media of the separated epidermis demonstrated significantly stronger MMP activity than did intact Apligraf or its dermal component.These observations provide evidence that epidermal-dermal interactions suppress epidermal gelatinase activity.', 'In addition, coexpression of TIMPs and fibronectin in the Apligraf dermis suggests that the product has the potential to counteract the imbalance between matrix production and degradation in chronic wounds and thus may support wound re-epithelialization.']
17685	others	2127	New drugs derived from medicinal plants.	['In China, increasing emphasis has been laid in recent years on research on natural products.', 'About 140 new drugs have been developed from Chinese medicinal plants.', 'For example, anisodamine possesses good effects in the treatment of septic shock and morphine addiction; 3-n-butylphthalide isolated from seeds of celery was shown to be a new cerebral anti-ischemic agent; indirubin was identified as an anti-leukemic drug with no inhibition of bone marrow; huperzine is a potent and reversible inhibitor of acetylcholinesterase (AChE) and its selective action is superior to that of donepezil; clausenamide was shown to be a potassium channel blocker, its nootropic effect was 50-100 times more potent than that of piracetam; bicyclol was synthesized from schizandrin C isolated from Fructus schizandrae.', 'It has remarkable hepatoprotective and certain anti-hepatitis virus actions; salvianolic acid B is a very strong antioxidant agent with potential anti-dementia effects; yingzhaosu A and artemisinin are anti-malaria drugs containing a peroxide ring which is very rarely seen in natural substan']
12895	animal in-vivo	1532	Phaseolin type and heat treatment influence the biochemistry of protein digestion in the rat intestine.	['The study aimed to investigate the in vivo digestion of Phaseolus vulgaris phaseolin types differing in their subunit pattern composition.', 'Diets contained either casein as the sole source of protein or a mixture (1:1) of casein and pure Sanilac (S), Tendergreen (T) or Inca (I) phaseolin either unheated or heated.', 'Rats were fed for 11 d with the experimental diets.', 'Their ileal content and mucosa were collected and prepared for electrophoresis, Western blotting, densitometry and MS.', 'Differences in digestion among native phaseolin types were observed for intact phaseolin at molecular weights (MW) of 47-50.5 kDa and for an undigested fragment at MW of 19-21.5 kDa in ileal digesta.', 'In both cases, the concentration of these protein bands was lower for I phaseolin than for S or T phaseolin (P < 0.05).', 'In the mucosa, the concentration of a protein band at MW of 20.5-21.5 kDa was lower for S phaseolin as compared to T or I phaseolin (P < 0.001).', 'The presence of phaseolin subunits and their fragments was confirmed by Western blotting.', 'MS analysis revealed the presence of undigested alpha and beta subunit fragments from phaseolin and endogenous proteins (anionic trypsin I and pancreatic alpha-amylase) in ileal digesta.', 'Thermal treatment improved digestion (P < 0.01), acting on both dietary and endogenous protein components.', 'In conclusion, this study provides evidence for differences in intestinal digestion among phaseolin types, S phaseolin being more resistant and I phaseolin more susceptible.', 'These differences were affected by the origin of the phaseolin subunit precursor.', 'Heat treatment enhanced phaseolin digest']
10558	in-vitro	1249	The effects of nano-anatase TiO(2) on the activation of lactate dehydrogenase from rat heart.	['Lactate dehydrogenase (LDH, EC1.1.1.27), widely expressed in the heart, liver, and other tissues, plays an important role in glycolysis and glyconeogenesis.', 'The activity of LDH is often altered upon inflammatory responses in animals.', 'Nano-TiO(2) was shown to provoke various inflammatory responses both in rats and mice; however, the molecular mechanism by which TiO(2) exerts its toxicity has not been completely understood.', 'In this report, we investigated the mechanisms of nano-anatase TiO(2) (5 nm) on LDH activity in vitro.', 'Our results showed that LDH activity was greatly increased by low concentration of nano-anatase TiO(2), while it was decreased by high concentration of nano-anatase TiO(2).', 'The spectroscopic assays revealed that the nano-anatase TiO(2) particles were directly bound to LDH with mole ratio of nano-anatase TiO(2) to LDH was 0.12, indicating that each Ti atom was coordinated with five oxygen/nitrogen atoms and a sulfur atoms of amino acid residues with the Ti-O(N) and Ti-S bond lengths of 1.79 and 2.41 A.', 'We postulated that the bound nano-anatase TiO(2) altered the secondary structure of LDH, created a new metal ion-active site for LDH, and thereby enhanced LDH activ']
20485	in-vitro	2486	Cranberry proanthocyanidins inhibit the adherence properties of Candida albicans and cytokine secretion by oral epithelial cells.	['Oral candidiasis is a common fungal disease mainly caused by Candida albicans.', 'The aim of this study was to investigate the effects of A-type cranberry proanthocyanidins (AC-PACs) on pathogenic properties of C. albicans as well as on the inflammatory response of oral epithelial cells induced by this oral pathogen.Microplate dilution assays were performed to determine the effect of AC-PACs on C. albicans growth as well as biofilm formation stained with crystal violet.', 'Adhesion of FITC-labeled C. albicans to oral epithelial cells and to acrylic resin disks was monitored by fluorometry.', 'The effects of AC-PACs on C. albicans-induced cytokine secretion, nuclear factor-kappa B (NF-kappaB) p65 activation and kinase phosphorylation in oral epithelial cells were determined by immunological assays.Although AC-PACs did not affect growth of C. albicans, it prevented biofilm formation and reduced adherence of C. albicans to oral epithelial cells and saliva-coated acrylic resin discs.', 'In addition, AC-PACs significantly decreased the secretion of IL-8 and IL-6 by oral epithelial cells stimulated with C. albicans.', 'This anti-inflammatory effect was associated with reduced activation of NF-kappaB p65 and phosphorylation of specific signal intracellular kinases.AC-PACs by affecting the adherence properties of C. albicans and attenuating the inflammatory response induced by this pathogen represent potential novel therapeutic agents for the prevention/treatment of oral candidiasis.']
7141	Bioanalysis	841	Characterisation of fatty acid, carotenoid, tocopherol/tocotrienol compositions and antioxidant activities in seeds of three Chenopodium quinoa Willd. genotypes.	['Composition of fatty acids, tocopherols, tocotrienols, and carotenoids, and their contribution to antioxidant activities were investigated in seeds of three coloured quinoa cultivars (white, red and black).', 'The major components and individual compounds were significantly different, and their concentrations were higher in darker seeds (p < 0.05).', 'The oil yield was 6.58-7.17% which contained predominantly unsaturated fatty acids (89.42%).', 'The ratio of omega-6/omega-3 fatty acid was ca.', 'The total tocopherol content ranged from 37.49 to 59.82 microg/g and mainly consisted of gamma-tocopherol.', 'Trace amount of alpha- and beta-tocotrienols was also found.', 'Black quinoa had the highest vitamin E followed by red and white quinoas.', 'Carotenoids, mainly trans-lutein (84.7-85.6%) and zeaxanthin were confirmed for the first time in quinoa seeds, and the concentration was also the highest in black seeds.', 'The antioxidant activities of lipophilic extracts were positively correlated with polyunsaturated fatty aci']
17323	others	2072	The use of immobilised digestive lipase from Chinook salmon (Oncorhynchus tshawytscha) to generate flavour compounds in milk.	['The aim of this research was to determine the potential of immobilised digestive lipase from Chinook salmon (Oncorhynchus tshawytscha) to generate flavour compounds in milk.', 'The lipase was immobilised on hydrophobic resin (Toyopearl® Butyl) and used to hydrolyse milk lipids in a batch reactor.', 'The lipase was stable when immobilised and there was no significant resin fouling or enzyme inhibition between cycles.', 'Eight cycles were achieved before the hydrolysis rate dropped significantly because of physical losses of the immobilised lipase.', 'The immobilised lipase showed the highest specificity towards short-chain fatty acids butanoic and hexanoic acids, the main dairy product flavour and odour compounds.', 'Based on the performance of the reactor, and the ability of the lipase to alter free fatty acid composition and sensory characteristics of milk, the immobilised salmon lipase has potential applications']
13248	animal in-vivo	1574	Effect of sodium nitroprusside on antioxidative enzymes and the phenylpropanoid pathway in blueberry fruit.	['The purpose of this study is to investigate the effects of sodium nitroprusside (SNP) treatment after harvest on the activity of antioxidative enzymes and the phenylpropanoid pathway of blueberries.', 'Blueberry fruits were dipped in 1.0 mmol/L SNP solution for 10 min and stored at 4 °C.', 'Fruits treated with distilled water were used as the control.', 'The results indicated that SNP significantly inhibited the increase of weight loss and enhanced the ascorbic acid content of blueberry fruit.', 'Moreover, SNP increased the activity of phenylalanine ammonia-lyase, 4-coumarate-CoA ligase, polyphenol oxidase, superoxide dismutase, glutathione reductase, ascorbate peroxidase, peroxidase, and hydrogen peroxide in blueberry fruit.', 'The accumulation of lignin and anthocyanin in the fruit was also stimulated by the SNP treatment.', 'These results demonstrate that SNP treatment could maintain the antioxidant ability of blueberries by regulating t']
18134	others	2183	Effects of soybean saponin on protease hydrolyses of beta-lactoglobulin and alpha-lactalbumin.	['Effects of Soybean Saponin on Protease Hydrolyses of beta-Lactoglobulin and alpha-Lactalbumin The effects of soybean saponin on tryptic and chymotryptic hydrolyses of whey proteins were evaluated.', 'beta-lactoglobulin and alpha-lactalbumin became more sensitive to both trypsin and chymotrypsin by interacting with saponin in contrast to serum albumin.', 'Soybean saponin was shown to have different effects on various proteins according to their nat']
19370	in-vitro	2334	Anti-Onchocerca activity and phytochemical analysis of an essential oil from Cyperus articulatus L.	['BACKGROUND: The lack of a safe and effective adult worm drug and the emergence of resistant animal parasite strains to the only recommended drug, the microfilaricide, ivermectin put many at risk of the devastating effects of the onchocerciasis.', 'The present study was undertaken to investigate the acclaimed anti-Onchocerca activity of the roots/rhizomes of Cyperus articulatus in the traditional treatment of onchocerciasis in North Western Cameroon and to assess the plant as a new source of potential filaricidal lead compounds.', 'METHODS: Crude extracts were prepared from the dried plant parts using hexane, methylene chloride and methanol.', 'The antifilarial activity was evaluated in vitro on microfilariae (Mfs) and adult worms of the bovine derived Onchocerca ochengi, a close relative of Onchocerca volvulus.', 'The viabilities of microfilariae and adult male worms were determined based on motility reduction, while for the adult female worms the viability was based on the standard MTT/formazan assay.', 'Cytotoxicity of the active extract was assessed on monkey kidney epithelial cells in vitro and the selectivity indices (SI) were determined.', 'Acute toxicity of the promising extract was investigated in mice.', 'Chemical composition of the active extract was unraveled by GC/MS analysis.', 'RESULTS: Only the hexane extract, an essential oil exhibited anti-Onchocerca activity.', 'The oil killed both the microfilariae and adult worms of O. ochengi in a dose manner dependently, with IC50s of 23.4 microg/ml on the Mfs, 23.4 microg/ml on adult male worms and 31.25 microg/ml on the adult female worms.', 'Selectivity indices were 4, 4, and 2.99 for Mfs, adult males and adult females, respectively.', 'At a single limit dose of 2000 mg/kg body weight, none of 6 mice that received the essential oil by gavage died.', 'GC/MS analysis revealed the presence of terpenoids, hydrocarbons and fatty acids or fatty acid derivatives as components of the oil.', 'CONCLUSIONS: The essential oil from the roots/rhizomes of Cyperus articulatus is active against O. ochengi microfilariae and adult worms in vitro in a dose dependent manner, hence may provide a source of new anti-filarial compounds.', 'The results also support the traditional use of C. articulatus in the treatment of human onchocerciasis.']
4504	in-vitro	531	Tyrphostin correction of Tryphostin AG879, a tyrosine kinase inhibitor: prevention of transcriptional activation of the electrophile and the aromatic hydrocarbon response elements.	['To investigate a possible role of phosphorylation in the signal transduction pathways responsible for transcriptional regulation of drug-metabolizing enzymes, we tested seven specific tyrosine kinase inhibitors (tyrphostins) for their effects on NAD(P)H:quinone oxidoreductase-1 (NQO1) mRNA levels in mouse hepatoma Hepa-1c1c7 (Hepa-1) cells and chose to study AG879 further.', 'The potent electrophile tert-butylhydroquinone (tBHQ) is known to activate NQO1 gene transcription via the electrophile response element (EPRE).', 'Among the tyrphostins tested, tyrphostin AG879 was unique in preventing the accumulation of tBHQ-induced NQO1 mRNA; this effect was dependent on the AG879 dose and was also sensitive to the time when AG879 was added relative to the beginning of tBHQ treatment.', '2,3,7,8-Tetrachlorodibenzo-p-dioxin (dioxin; TCDD) is known to activate Cyp1a1 gene transcription by way of aromatic hydrocarbon response elements (AHREs).', 'We found that AG879 also prevents, to a lesser extent, the AHRE-mediated induction of CYP1A1 and NQO1 mRNA by dioxin.', 'Zinc or cadmium is known to activate metallothionein (Mt1) gene transcription via the metal response element (MRE).', 'AG879 induced MT1 mRNA, and AG879 did not block zinc- or cadmium-induced MT1 mRNA, indicating that the effects of AG879 on NQO1 or CYP1A1 mRNA levels cannot be generalized to all transcripts.', 'Using transient transfection of EPRE-, AHRE-, or MRE-driven luciferase reporter gene constructs in Hepa-1 cells, we showed that the inhibitory effects of AG879 occurred at the level of EPRE- and AHRE-mediated transcription, but that AG879 did not affect the MRE-driven transcriptional response.', 'These data suggest that AG879 might inhibit an unknown tyrosine kinase(s) whose activity is essential for EPRE- and AHRE-mediated trans-activation of certain mammalian genes.', 'These results also indicate that some sharing of common signal transduction pathways might exist in the regulation of genes involved in drug metabolism that also respond to oxidative stress.']
13708	animal in-vivo	1630	Bone marrow micronucleus assay in Brown-Norway rats exposed to diphenyl-methane-4,4'-diisocyanate.	"[""Four groups of young adult male Brown-Norway rats (strain: BN/RijHsd) were either exposed whole-body (WB) to filtered air (negative control) or to respirable aerosols of monomeric diphenylmethane-4,4'-diisocyanate (MDI) at actual breathing zone concentrations of 9.2 +/- 1.5 and 118 +/- 8.6 mg/m3."", 'One additional group was exposed to 11,0 +/- 14.4 mg/m3 MDI using a nose-only (NO) mode.', 'Exposure was 1 h/day, one exposure per week on 3 consecutive weeks.', 'MDI aerosols were generated using either a condensation (WB) or a dispersion-condensation (NO) principle with resultant MMADs of 2.4-3.1 microm and 1.2 microm (GSD approximately l.5), respectively.', 'Humidity ranged from approximately 40% (WB) to approximately 5% (NO).', 'Positive controls received cyclophosphamide and colcemid.', 'Micronuclei in polychromatic erythrocytes (MN-PCE) were counted in bone marrow smears prepared after the final exposure on post-exposure days 1, 2 and 7 and stained with acridine orange or Wright-Giemsa.', 'Both the WB-exposure regimen and the 7-day sampling time point were based upon a previous study in which a significant increase in MN-PCE was reported to occur.', 'Rats exposed to 118 (WB) and 110 mg/m3 MDI (NO) exhibited signs of respiratory distress, including hypothermia, and increased lung weights when compared to WB-exposed rats.', 'The intensity of changes appeared to be slightly more pronounced in NO-exposed rats.', 'At no time point did this study provide any evidence of an MDI-induced effect on the frequency of MN-PCE.', 'No differences in outcome existed following staining with acridine orange or Wright-Giemsa.', 'There was an absence of any effect on the frequency of mast cells and their frequency was low enough not to interfere with the outcome of study.', 'Positive control groups exhibited significant increases in MN-PCE.', 'In summary, monomeric MDI aerosol did not induce cytogenetic damage in Brown-Norway rats when investigated according to current testing guideli']"
8358	in-vitro	983	Vitamin K promotes mineralization, osteoblast-to-osteocyte transition, and an anticatabolic phenotype by {gamma}-carboxylation-dependent and -independent mechanisms.	['The vitamin K family members phylloquinone (vitamin K1) and the menaquinones (vitamin K2) are under study for their roles in bone metabolism and as potential therapeutic agents for skeletal diseases.', 'We have investigated the effects of two naturally occurring homologs, phytonadione (vitamin K1) and menatetrenone (vitamin K2), and those of the synthetic vitamin K, menadione (vitamin K3), on human primary osteoblasts.', 'All homologs promoted in vitro mineralization by these cells.', 'Vitamin K1-induced mineralization was highly sensitive to warfarin, whereas that induced by vitamins K2 and K3 was less sensitive, implying that gamma-carboxylation and other mechanisms, possibly genomic actions through activation of the steroid xenobiotic receptor, are involved in the effect.', 'The positive effect on mineralization was associated with decreased matrix synthesis, evidenced by a decrease from control in expression of type I collagen mRNA, implying a maturational effect.', 'Incubation in the presence of vitamin K2 or K3 in a three-dimensional type I collagen gel culture system resulted in increased numbers of cells with elongated cytoplasmic processes resembling osteocytes.', 'This effect was not warfarin sensitive.', 'Addition of calcein to vitamin K-treated cells revealed vitamin K-dependent deposition of mineral associated with cell processes.', 'These effects are consistent with vitamin K promoting the osteoblast-to-osteocyte transition in humans.', 'To test whether vitamin K may also act on mature osteocytes, we tested the effects of vitamin K on MLO-Y4 cells.', 'Vitamin K reduced receptor activator of NF-kappaB ligand expression relative to osteoprotegerin by MLO-Y4 cells, an effect also seen in human cultures.', 'Together, our findings suggest that vitamin K promotes the osteoblast-to-osteocyte transition, at the same time decreasing the osteoclastogenic potential of these cells.', 'These may be mechanisms by which vitamin K optimizes bone formation and integrity in vivo and may help explain the net positive effect of vitamin K on bone format']
13643	in-vitro	1622	Diminution of free radical induced DNA damage by extracts/fractions from bark of Schleichera oleosa (Lour.) Oken.	['The present study was undertaken to investigate the effect of extracts of Schleichera oleosa (Sapindaceae) for its cytotoxic and hydroxyl radical-scavenging activities.', 'The bark of the tree was used to prepare extracts with different solvents (in other words, hexane, chloroform, ethyl acetate, methanol, and water).', 'The extracts were initially assessed for their in vitro cytotoxicity potential in the sulforhodamine B dye assay against cell lines, such as 502713 (colon), SW-620 (colon), HCT-15 (colon), A-549 (lung), HEP-2 (liver), SK-NS-H (central nervous system), and IMR-32 (neuroblastoma).', 'It was observed that the water extract was effective against all the three colon cancer cell lines, while only methanol and water extracts were effective against A-549 (lung) and HEP-2 (liver), respectively.', 'As DNA damage is one of the hallmarks of cell death, so the extracts were assessed for their ability to scavenge hydroxyl radicals, in the deoxyribose degradation assay (site- and nonsite specific) as well as their protective effect against the hydroxyl radical-induced DNA damage in the plasmid nicking assay, using pBR322.', 'It was observed that all the extracts, except chloroform and hexane, exhibited relatively greater antioxidant activity in the nonsite-specific than in the site-specific assay.', 'Similarly, the extracts were also found to be effective in inhibiting the hydroxyl radical-induced unwinding of supercoiled DNA, which further confirmed the hydroxyl radical-scavenging ability of the extracts in the deoxyribose degradation met']
5583	animal in-vivo	660	The evaluation of 3 diets for rearing Hyalella azteca and the influence of diet on acute ammonia toxicity.	"['Three Hyalella azteca cultures were reared on different diets since birth, reflecting the recommended diets of various investigators.', 'The 3 diets consisted of fish flakes (FF), a mixture of fish flakes supplemented with the diatom Thalassiosira weissflogii (FF-D), and a mixture of fish flakes supplemented with yeast, cereal grass media, and trout chow (FF-YCT).', ""The 3 diets were evaluated by comparing 20 wk of culturing data, along with the organism's response to standard 96-h toxicity testing with ammonium chloride over a range of pH and temperature."", 'Hyalella azteca fed the FF-D diet had the highest overall survival rate (96.6%, standard deviation SD 4.3%) compared to those fed the FF diet (92.0%, SD 12.7%), or the FF-YCT diet (91.1%, SD 14.8%), although difference in survival was not statistically significant.', 'Organisms fed the FF-D diet produced a higher number of young per week per adult (6.1, SD 2.8) than the FF diet (5.1, SD 2.2), or the FF-YCT diet (4.0, SD 1.2), although differences were not statistically significant.', 'Of the diets evaluated, H. azteca reared on the FF-D diet were often significantly more resistant to total and un-ionized ammonia toxicity in acute 96-h testing than those reared on the other 2 diets across the 2 temperatures and 5 pHs tested, suggesting this may be the most optimal diet for this species.', 'Environ Toxicol Chem 2016;']"
